TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=topdown_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
297;28;11;17;ch;16;17;1;1;16;17;2;1;16;17;3;1;16;17;4;1;16;17;5;1;16;17;6;1;16;17;7;1;16;17;8;1;16;17;9;1;16;17;10;1;16;17;11;3;15;17;12;3;15;17;13;3;15;17;14;3;15;17;ran;3;15;17
298;19;8;10;ch;10;10;1;4;10;11;2;4;10;11;3;1;10;11;4;1;10;11;5;1;10;11;6;1;10;11;7;1;10;11;8;1;10;11;9;1;10;11;10;1;10;11;11;1;10;11;12;1;10;11;13;1;10;11;14;1;10;11;ran;3;10;10
299;32;15;24;ch;24;24;1;1;24;24;2;1;24;24;3;1;24;24;4;1;24;24;5;1;24;24;6;1;24;24;7;1;24;24;8;1;24;24;9;1;24;24;10;1;24;24;11;1;24;24;12;1;24;24;13;1;24;24;14;1;24;24;ran;4;24;25
300;23;12;15;ch;11;17;1;2;12;16;2;2;12;16;3;0;11;17;4;0;11;17;5;0;11;17;6;0;11;17;7;0;11;17;8;0;11;17;9;0;11;17;10;0;11;17;11;0;11;17;12;0;11;17;13;0;11;17;14;0;11;17;ran;3;12;17
301;18;8;9;ch;9;9;1;2;7;10;2;2;7;10;3;2;7;10;4;2;7;10;5;2;7;10;6;2;7;10;7;2;7;10;8;2;7;10;9;2;7;10;10;2;7;10;11;2;7;10;12;2;7;10;13;2;7;10;14;2;7;10;ran;1;9;9
302;32;12;20;ch;16;20;1;1;15;21;2;1;15;21;3;0;16;20;4;1;15;21;5;1;15;21;6;1;15;21;7;1;15;21;8;1;15;21;9;1;15;21;10;1;15;21;11;0;16;20;12;0;16;20;13;0;16;20;14;0;16;20;ran;1;15;21
303;5;3;1;ch;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;0;1;1
305;33;13;19;ch;19;20;1;0;19;20;2;0;19;20;3;0;19;20;4;0;19;20;5;0;19;20;6;0;19;20;7;0;19;20;8;4;17;21;9;4;17;21;10;0;19;20;11;0;19;20;12;0;19;20;13;0;19;20;14;0;19;20;ran;4;17;21
306;11;6;7;ch;7;7;1;0;7;7;2;0;7;7;3;0;7;7;4;0;7;7;5;0;7;7;6;0;7;7;7;0;7;7;8;0;7;7;9;0;7;7;10;0;7;7;11;0;7;7;12;0;7;7;13;0;7;7;14;0;7;7;ran;0;7;7
307;17;7;9;ch;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;0;9;9;7;0;9;9;8;0;9;9;9;0;9;9;10;0;9;9;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;1;9;9
308;18;7;10;ch;10;10;1;1;10;10;2;1;10;10;3;1;10;10;4;0;10;10;5;0;10;10;6;0;10;10;7;0;10;10;8;0;10;10;9;0;10;10;10;0;10;10;11;0;10;10;12;0;10;10;13;0;10;10;14;0;10;10;ran;2;9;10
309;26;12;17;ch;15;17;1;3;17;17;2;2;17;17;3;2;17;17;4;2;17;17;5;2;17;17;6;2;17;17;7;2;17;17;8;2;17;17;9;2;17;17;10;2;17;17;11;2;17;17;12;2;17;17;13;2;17;17;14;2;17;17;ran;1;15;17
310;19;6;9;ch;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;0;9;9;7;0;9;9;8;0;9;9;9;0;9;9;10;0;9;9;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;3;7;9
311;18;7;10;ch;10;11;1;0;10;11;2;4;9;11;3;4;9;11;4;4;9;11;5;4;9;11;6;3;9;10;7;1;10;10;8;1;10;10;9;1;10;10;10;1;10;10;11;1;10;10;12;1;10;10;13;1;10;10;14;1;10;10;ran;3;9;10
312;26;16;17;ch;15;16;1;3;15;16;2;0;15;16;3;0;15;16;4;0;15;16;5;0;15;16;6;0;15;16;7;0;15;16;8;0;15;16;9;0;15;16;10;0;15;16;11;3;15;16;12;3;15;16;13;3;15;16;14;3;15;16;ran;1;15;16
313;39;11;24;ch;22;25;1;2;23;25;2;2;23;25;3;2;23;25;4;2;23;25;5;2;23;25;6;2;23;25;7;2;23;25;8;2;23;25;9;2;23;25;10;2;23;25;11;2;23;25;12;2;23;25;13;2;23;25;14;2;23;25;ran;0;22;25
314;24;9;15;ch;10;17;1;3;12;16;2;0;10;17;3;3;12;16;4;0;10;17;5;0;10;17;6;0;10;17;7;0;10;17;8;3;12;16;9;3;12;16;10;3;12;16;11;3;12;16;12;3;12;16;13;3;12;16;14;3;12;16;ran;1;12;17
315;28;12;19;ch;18;18;1;2;16;17;2;2;16;17;3;2;16;17;4;1;16;17;5;2;16;17;6;0;18;18;7;0;18;18;8;0;18;18;9;0;18;18;10;0;18;18;11;0;18;18;12;0;18;18;13;0;18;18;14;0;18;18;ran;1;16;17
316;16;8;8;ch;8;8;1;0;8;8;2;0;8;8;3;0;8;8;4;0;8;8;5;0;8;8;6;0;8;8;7;0;8;8;8;0;8;8;9;0;8;8;10;0;8;8;11;0;8;8;12;0;8;8;13;0;8;8;14;0;8;8;ran;4;8;9
317;10;7;6;ch;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;4;6;6
318;3;3;1;ch;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;0;1;1
319;25;9;13;ch;13;13;1;0;13;13;2;0;13;13;3;0;13;13;4;0;13;13;5;0;13;13;6;0;13;13;7;0;13;13;8;0;13;13;9;0;13;13;10;0;13;13;11;0;13;13;12;0;13;13;13;0;13;13;14;0;13;13;ran;4;13;13
320;35;11;20;ch;19;20;1;3;19;20;2;1;20;20;3;1;20;20;4;1;20;20;5;1;20;20;6;1;20;20;7;1;20;20;8;1;20;20;9;0;19;20;10;2;17;20;11;2;17;20;12;2;17;20;13;2;17;20;14;2;17;20;ran;4;19;20
321;38;12;22;ch;19;22;1;3;17;22;2;3;17;22;3;3;17;22;4;3;17;22;5;3;17;22;6;0;19;22;7;3;17;22;8;3;17;22;9;3;17;22;10;3;17;22;11;3;17;22;12;3;17;22;13;3;17;22;14;3;17;22;ran;3;17;22
322;26;11;15;ch;13;15;1;0;13;15;2;0;13;15;3;0;13;15;4;0;13;15;5;0;13;15;6;0;13;15;7;0;13;15;8;0;13;15;9;0;13;15;10;0;13;15;11;0;13;15;12;0;13;15;13;0;13;15;14;0;13;15;ran;0;13;15
323;35;9;18;ch;17;19;1;2;17;19;2;2;17;19;3;2;17;19;4;2;17;19;5;2;17;19;6;2;17;19;7;2;17;19;8;2;17;19;9;2;17;19;10;2;17;19;11;2;17;19;12;2;17;19;13;2;17;19;14;2;17;19;ran;3;17;19
324;15;7;7;ch;6;8;1;1;7;7;2;1;7;7;3;3;6;8;4;1;7;7;5;1;7;7;6;1;7;7;7;1;7;7;8;1;7;7;9;1;7;7;10;1;7;7;11;1;7;7;12;1;7;7;13;3;6;8;14;3;6;8;ran;3;6;8
325;38;17;24;ch;24;25;1;0;24;25;2;0;24;25;3;0;24;25;4;0;24;25;5;0;24;25;6;0;24;25;7;0;24;25;8;0;24;25;9;0;24;25;10;0;24;25;11;0;24;25;12;0;24;25;13;0;24;25;14;0;24;25;ran;2;22;24
326;34;9;22;ch;21;23;1;3;20;24;2;3;20;24;3;3;20;24;4;3;20;24;5;3;20;24;6;3;20;24;7;3;20;24;8;3;20;24;9;3;20;24;10;3;20;24;11;0;21;23;12;0;21;23;13;0;21;23;14;0;21;23;ran;2;21;23
327;27;9;18;ch;16;18;1;3;16;17;2;3;16;17;3;3;16;17;4;3;16;17;5;3;16;17;6;3;16;17;7;3;16;17;8;3;16;17;9;3;16;17;10;3;16;17;11;3;16;17;12;3;16;17;13;3;16;17;14;3;16;17;ran;1;17;18
328;18;6;9;ch;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;3;8;9;7;1;9;9;8;1;9;9;9;1;9;9;10;1;9;9;11;1;9;9;12;1;9;9;13;1;9;9;14;1;9;9;ran;2;9;9
329;8;8;6;ch;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;0;6;6
330;32;11;18;ch;17;20;1;2;16;19;2;2;16;19;3;2;16;19;4;4;15;18;5;2;16;19;6;2;16;19;7;2;16;19;8;2;16;19;9;2;16;19;10;2;16;19;11;2;16;19;12;2;16;19;13;2;16;19;14;2;16;19;ran;3;15;20
331;18;12;13;ch;12;14;1;0;12;14;2;0;12;14;3;0;12;14;4;2;10;13;5;2;10;13;6;2;10;13;7;2;10;13;8;2;10;13;9;2;10;13;10;2;10;13;11;2;10;13;12;2;10;13;13;2;10;13;14;2;10;13;ran;4;10;13
332;33;12;18;ch;15;18;1;4;16;19;2;3;17;18;3;3;17;18;4;3;17;18;5;3;17;18;6;3;17;18;7;3;17;18;8;3;17;18;9;3;17;18;10;3;17;18;11;3;17;18;12;3;17;18;13;3;17;18;14;3;17;18;ran;3;17;18
333;36;12;17;ch;15;16;1;2;14;16;2;0;15;16;3;0;15;16;4;0;15;16;5;0;15;16;6;0;15;16;7;0;15;16;8;0;15;16;9;0;15;16;10;0;15;16;11;0;15;16;12;0;15;16;13;0;15;16;14;0;15;16;ran;0;15;16
334;39;8;21;ch;20;21;1;2;20;21;2;1;21;21;3;1;21;21;4;1;21;21;5;1;21;21;6;1;21;21;7;1;21;21;8;1;21;21;9;0;20;21;10;0;20;21;11;0;20;21;12;0;20;21;13;0;20;21;14;0;20;21;ran;4;20;21
335;4;3;1;ch;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;4;1;2
337;28;8;16;ch;15;16;1;4;15;16;2;1;16;16;3;1;16;16;4;1;16;16;5;1;16;16;6;1;16;16;7;1;16;16;8;1;16;16;9;1;16;16;10;1;16;16;11;3;13;16;12;3;13;16;13;3;13;16;14;3;13;16;ran;0;15;16
339;20;14;13;ch;12;13;1;2;12;14;2;2;12;14;3;2;12;14;4;2;12;14;5;2;12;14;6;2;12;14;7;2;12;14;8;3;10;12;9;3;10;12;10;3;10;12;11;3;10;12;12;3;10;12;13;3;10;12;14;3;10;12;ran;1;12;13
340;35;15;22;ch;19;22;1;4;18;21;2;4;18;21;3;4;18;21;4;4;18;21;5;4;18;21;6;4;18;21;7;4;18;21;8;4;18;21;9;4;18;21;10;4;18;21;11;4;18;21;12;4;18;21;13;4;18;21;14;4;18;21;ran;1;18;21
341;18;6;9;ch;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;0;9;9;7;0;9;9;8;0;9;9;9;0;9;9;10;0;9;9;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;2;8;9
342;21;8;14;ch;14;14;1;1;12;14;2;1;12;14;3;1;12;14;4;1;12;14;5;3;13;15;6;1;12;14;7;1;12;14;8;1;12;14;9;1;12;14;10;1;12;14;11;1;12;14;12;1;12;14;13;1;12;14;14;1;12;14;ran;4;13;13
343;14;7;7;ch;7;7;1;2;7;7;2;2;7;7;3;2;7;7;4;2;7;7;5;2;7;7;6;2;7;7;7;2;7;7;8;2;7;7;9;2;7;7;10;2;7;7;11;2;7;7;12;2;7;7;13;2;7;7;14;2;7;7;ran;0;7;7
344;28;8;16;ch;15;16;1;1;15;17;2;1;15;17;3;1;15;17;4;3;15;17;5;3;15;17;6;3;15;17;7;3;15;17;8;3;15;17;9;3;15;17;10;3;15;17;11;3;15;17;12;3;15;17;13;3;15;17;14;3;15;17;ran;4;15;18
345;20;7;11;ch;10;11;1;0;10;11;2;0;10;11;3;1;10;11;4;1;10;11;5;1;10;11;6;1;10;11;7;1;10;11;8;1;10;11;9;1;10;11;10;1;10;11;11;1;10;11;12;1;10;11;13;1;10;11;14;1;10;11;ran;3;10;11
346;26;9;15;ch;12;15;1;3;14;16;2;3;14;16;3;3;14;16;4;3;14;16;5;3;14;16;6;3;14;16;7;3;14;16;8;3;14;16;9;3;14;16;10;3;14;16;11;3;14;16;12;3;14;16;13;3;14;16;14;3;14;16;ran;1;12;15
347;27;10;16;ch;15;17;1;3;15;16;2;3;15;16;3;3;15;16;4;3;15;16;5;2;15;16;6;2;15;16;7;2;15;16;8;2;15;16;9;2;15;16;10;2;15;16;11;2;15;16;12;2;15;16;13;2;15;16;14;2;15;16;ran;4;15;17
348;10;6;7;ch;7;7;1;0;7;7;2;0;7;7;3;0;7;7;4;0;7;7;5;0;7;7;6;0;7;7;7;0;7;7;8;0;7;7;9;0;7;7;10;0;7;7;11;0;7;7;12;0;7;7;13;0;7;7;14;0;7;7;ran;0;7;7
349;35;8;20;ch;18;19;1;4;18;19;2;1;19;19;3;1;19;19;4;1;19;19;5;1;19;19;6;1;19;19;7;1;19;19;8;1;19;19;9;0;18;19;10;0;18;19;11;0;18;19;12;0;18;19;13;0;18;19;14;0;18;19;ran;0;18;19
350;32;16;22;ch;19;22;1;1;17;21;2;0;19;22;3;0;19;22;4;0;19;22;5;4;16;22;6;4;16;22;7;4;16;22;8;4;16;22;9;4;16;22;10;4;16;22;11;4;16;22;12;4;16;22;13;4;16;22;14;4;16;22;ran;4;16;22
351;27;11;18;ch;16;18;1;2;18;18;2;2;18;18;3;0;16;18;4;0;16;18;5;0;16;18;6;0;16;18;7;0;16;18;8;2;18;18;9;2;18;18;10;2;18;18;11;2;18;18;12;2;18;18;13;2;18;18;14;2;18;18;ran;1;18;19
353;25;17;17;ch;17;18;1;4;16;18;2;4;16;18;3;4;16;18;4;4;16;18;5;4;16;18;6;4;16;18;7;4;16;18;8;4;16;18;9;4;16;18;10;4;16;18;11;4;16;18;12;4;16;18;13;4;16;18;14;4;16;18;ran;2;17;18
354;26;15;15;ch;15;15;1;0;15;15;2;0;15;15;3;0;15;15;4;0;15;15;5;0;15;15;6;4;14;15;7;4;14;15;8;4;14;15;9;4;14;15;10;4;14;15;11;4;14;15;12;4;14;15;13;0;15;15;14;0;15;15;ran;2;15;15
355;30;16;19;ch;18;21;1;3;18;21;2;3;18;21;3;3;18;21;4;3;18;21;5;3;18;21;6;3;18;21;7;3;18;21;8;3;18;21;9;3;18;21;10;3;18;21;11;3;18;21;12;3;18;21;13;3;18;21;14;3;18;21;ran;4;19;21
356;23;10;13;ch;10;14;1;0;10;14;2;0;10;14;3;0;10;14;4;0;10;14;5;0;10;14;6;0;10;14;7;0;10;14;8;0;10;14;9;0;10;14;10;0;10;14;11;0;10;14;12;0;10;14;13;0;10;14;14;0;10;14;ran;1;9;15
358;15;6;8;ch;8;8;1;0;8;8;2;0;8;8;3;0;8;8;4;0;8;8;5;0;8;8;6;0;8;8;7;0;8;8;8;1;8;8;9;1;8;8;10;1;8;8;11;1;8;8;12;1;8;8;13;1;8;8;14;1;8;8;ran;2;8;8
359;31;9;19;ch;13;21;1;2;19;19;2;2;19;19;3;2;19;19;4;2;19;19;5;2;19;19;6;2;19;19;7;2;19;19;8;2;19;19;9;2;19;19;10;2;19;19;11;2;19;19;12;2;19;19;13;2;19;19;14;2;19;19;ran;2;19;19
361;7;6;5;ch;5;5;1;0;5;5;2;0;5;5;3;0;5;5;4;1;5;5;5;0;5;5;6;0;5;5;7;0;5;5;8;1;5;5;9;0;5;5;10;0;5;5;11;0;5;5;12;0;5;5;13;0;5;5;14;0;5;5;ran;0;5;5
362;24;7;14;ch;14;14;1;0;14;14;2;0;14;14;3;0;14;14;4;0;14;14;5;0;14;14;6;2;14;14;7;2;14;14;8;2;14;14;9;2;14;14;10;2;14;14;11;2;14;14;12;2;14;14;13;2;14;14;14;2;14;14;ran;4;12;13
363;39;12;23;ch;21;23;1;2;21;22;2;2;21;22;3;2;21;22;4;2;21;22;5;2;21;22;6;2;21;22;7;2;21;22;8;2;21;22;9;2;21;22;10;2;21;22;11;2;21;22;12;2;21;22;13;2;21;22;14;2;21;22;ran;0;21;23
364;11;10;8;ch;8;8;1;2;8;8;2;2;8;8;3;0;8;8;4;0;8;8;5;0;8;8;6;0;8;8;7;0;8;8;8;0;8;8;9;0;8;8;10;0;8;8;11;0;8;8;12;0;8;8;13;0;8;8;14;0;8;8;ran;1;7;7
365;39;10;18;ch;17;18;1;2;18;18;2;2;18;18;3;1;17;18;4;2;18;18;5;2;18;18;6;2;18;18;7;2;18;18;8;2;18;18;9;2;18;18;10;2;18;18;11;2;18;18;12;2;18;18;13;2;18;18;14;2;18;18;ran;1;17;18
366;29;16;20;ch;20;20;1;0;20;20;2;0;20;20;3;0;20;20;4;0;20;20;5;0;20;20;6;0;20;20;7;0;20;20;8;0;20;20;9;0;20;20;10;0;20;20;11;0;20;20;12;0;20;20;13;0;20;20;14;0;20;20;ran;3;19;19
367;27;11;18;ch;18;18;1;1;16;18;2;0;18;18;3;0;18;18;4;0;18;18;5;0;18;18;6;0;18;18;7;0;18;18;8;1;16;18;9;1;16;18;10;1;16;18;11;1;16;18;12;1;16;18;13;0;18;18;14;0;18;18;ran;4;18;19
368;16;12;13;ch;12;12;1;3;13;13;2;3;13;13;3;0;12;12;4;0;12;12;5;0;12;12;6;1;10;13;7;1;10;13;8;1;10;13;9;1;10;13;10;0;12;12;11;0;12;12;12;0;12;12;13;0;12;12;14;0;12;12;ran;1;10;13
369;37;16;23;ch;23;23;1;0;23;23;2;0;23;23;3;0;23;23;4;0;23;23;5;0;23;23;6;0;23;23;7;0;23;23;8;0;23;23;9;0;23;23;10;0;23;23;11;0;23;23;12;0;23;23;13;0;23;23;14;0;23;23;ran;3;23;23
370;16;11;12;ch;12;12;1;0;12;12;2;0;12;12;3;0;12;12;4;0;12;12;5;0;12;12;6;0;12;12;7;0;12;12;8;0;12;12;9;0;12;12;10;0;12;12;11;0;12;12;12;0;12;12;13;0;12;12;14;0;12;12;ran;3;12;12
372;38;16;21;ch;21;21;1;0;21;21;2;0;21;21;3;0;21;21;4;0;21;21;5;0;21;21;6;0;21;21;7;0;21;21;8;0;21;21;9;0;21;21;10;0;21;21;11;0;21;21;12;0;21;21;13;0;21;21;14;0;21;21;ran;1;21;21
373;39;12;25;ch;21;23;1;4;22;24;2;4;22;24;3;4;22;24;4;4;22;24;5;4;22;24;6;4;22;24;7;4;22;24;8;4;22;24;9;2;20;25;10;2;20;25;11;2;20;25;12;2;20;25;13;2;20;25;14;2;20;25;ran;2;20;25
374;20;12;12;ch;12;12;1;1;12;12;2;1;12;12;3;1;12;12;4;1;12;12;5;1;12;12;6;1;12;12;7;1;12;12;8;1;12;12;9;1;12;12;10;1;12;12;11;1;12;12;12;1;12;12;13;1;12;12;14;1;12;12;ran;0;12;12
375;30;22;23;ch;23;24;1;0;23;24;2;0;23;24;3;0;23;24;4;0;23;24;5;0;23;24;6;0;23;24;7;0;23;24;8;0;23;24;9;0;23;24;10;0;23;24;11;0;23;24;12;0;23;24;13;0;23;24;14;0;23;24;ran;2;23;24
376;12;7;8;ch;8;8;1;1;7;9;2;1;7;9;3;1;7;9;4;1;7;9;5;1;7;9;6;1;7;9;7;1;7;9;8;1;7;9;9;1;7;9;10;1;7;9;11;1;7;9;12;1;7;9;13;1;7;9;14;1;7;9;ran;3;7;9
377;14;8;8;ch;8;8;1;1;8;8;2;1;8;8;3;1;8;8;4;1;8;8;5;1;8;8;6;1;8;8;7;1;8;8;8;1;8;8;9;1;8;8;10;1;8;8;11;1;8;8;12;1;8;8;13;3;8;8;14;3;8;8;ran;4;8;8
378;28;16;15;ch;15;16;1;0;15;16;2;0;15;16;3;0;15;16;4;0;15;16;5;0;15;16;6;0;15;16;7;0;15;16;8;0;15;16;9;0;15;16;10;0;15;16;11;0;15;16;12;0;15;16;13;0;15;16;14;0;15;16;ran;0;15;16
379;31;11;19;ch;15;19;1;1;15;19;2;1;15;19;3;1;15;19;4;0;15;19;5;0;15;19;6;0;15;19;7;0;15;19;8;2;15;19;9;2;15;19;10;2;15;19;11;2;15;19;12;2;15;19;13;2;15;19;14;2;15;19;ran;2;15;19
380;31;16;21;ch;18;22;1;2;18;23;2;2;18;23;3;2;18;23;4;2;18;23;5;2;18;23;6;2;18;23;7;2;18;23;8;2;18;23;9;2;18;23;10;2;18;23;11;2;18;23;12;2;18;23;13;2;18;23;14;2;18;23;ran;4;19;22
381;14;13;11;ch;11;11;1;0;11;11;2;0;11;11;3;0;11;11;4;0;11;11;5;0;11;11;6;0;11;11;7;0;11;11;8;0;11;11;9;0;11;11;10;0;11;11;11;0;11;11;12;0;11;11;13;0;11;11;14;0;11;11;ran;4;11;11
382;2;3;1;ch;1;1;1;2;1;1;2;2;1;1;3;2;1;1;4;2;1;1;5;2;1;1;6;2;1;1;7;2;1;1;8;2;1;1;9;2;1;1;10;2;1;1;11;2;1;1;12;2;1;1;13;2;1;1;14;2;1;1;ran;0;1;1
383;30;9;16;ch;12;17;1;4;9;18;2;4;9;18;3;4;9;18;4;4;9;18;5;4;9;18;6;4;9;18;7;4;9;18;8;2;13;18;9;2;13;18;10;2;13;18;11;2;13;18;12;2;13;18;13;2;13;18;14;2;13;18;ran;1;13;17
384;4;3;1;ch;1;1;1;1;1;2;2;1;1;2;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;2;1;2
385;1;3;0;ch;0;0;1;1;0;0;2;1;0;0;3;1;0;0;4;1;0;0;5;1;0;0;6;1;0;0;7;1;0;0;8;1;0;0;9;1;0;0;10;1;0;0;11;1;0;0;12;1;0;0;13;1;0;0;14;1;0;0;ran;1;0;0
386;23;11;19;ch;16;19;1;3;16;19;2;3;16;19;3;3;16;19;4;0;16;19;5;0;16;19;6;0;16;19;7;0;16;19;8;0;16;19;9;0;16;19;10;0;16;19;11;0;16;19;12;0;16;19;13;0;16;19;14;0;16;19;ran;3;16;19
387;4;3;1;ch;1;1;1;1;1;2;2;1;1;2;3;1;1;2;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;4;1;2
388;25;12;13;ch;13;14;1;3;13;13;2;3;13;13;3;3;13;13;4;3;13;13;5;3;13;13;6;3;13;13;7;3;13;13;8;3;13;13;9;3;13;13;10;3;13;13;11;3;13;13;12;3;13;13;13;3;13;13;14;3;13;13;ran;1;13;14
389;22;12;13;ch;13;13;1;3;13;13;2;3;13;13;3;3;13;13;4;1;13;13;5;1;13;13;6;1;13;13;7;1;13;13;8;0;13;13;9;0;13;13;10;0;13;13;11;0;13;13;12;0;13;13;13;0;13;13;14;0;13;13;ran;0;13;13
390;39;13;27;ch;26;27;1;2;27;27;2;1;25;28;3;1;25;28;4;2;27;27;5;2;27;27;6;2;27;27;7;2;27;27;8;2;27;27;9;2;27;27;10;2;27;27;11;2;27;27;12;2;27;27;13;2;27;27;14;2;27;27;ran;1;25;28
394;21;8;11;ch;10;11;1;2;10;10;2;3;10;10;3;3;10;10;4;2;10;10;5;2;10;10;6;2;10;10;7;2;10;10;8;2;10;10;9;2;10;10;10;2;10;10;11;2;10;10;12;2;10;10;13;2;10;10;14;2;10;10;ran;2;10;10
395;27;11;17;ch;15;18;1;3;16;19;2;3;16;19;3;3;16;19;4;3;16;19;5;3;16;19;6;3;16;19;7;3;16;19;8;3;16;19;9;3;16;19;10;3;16;19;11;3;16;19;12;3;16;19;13;3;16;19;14;3;16;19;ran;2;15;19
397;32;12;21;ch;19;21;1;1;18;22;2;1;18;22;3;0;19;21;4;3;19;21;5;3;19;21;6;3;19;21;7;3;19;21;8;3;19;21;9;0;19;21;10;0;19;21;11;1;18;22;12;0;19;21;13;0;19;21;14;0;19;21;ran;0;19;21
398;24;11;17;ch;17;17;1;3;17;18;2;3;17;18;3;3;17;18;4;3;17;18;5;3;17;18;6;2;15;17;7;2;15;17;8;2;15;17;9;3;17;18;10;3;17;18;11;3;17;18;12;0;17;17;13;0;17;17;14;0;17;17;ran;4;12;16
399;9;7;5;ch;5;5;1;0;5;5;2;0;5;5;3;0;5;5;4;0;5;5;5;0;5;5;6;0;5;5;7;0;5;5;8;0;5;5;9;0;5;5;10;0;5;5;11;0;5;5;12;0;5;5;13;0;5;5;14;0;5;5;ran;1;4;5
400;27;10;17;ch;15;17;1;0;15;17;2;0;15;17;3;0;15;17;4;0;15;17;5;0;15;17;6;0;15;17;7;4;12;17;8;0;15;17;9;0;15;17;10;0;15;17;11;0;15;17;12;0;15;17;13;0;15;17;14;0;15;17;ran;4;12;17
401;16;11;12;ch;12;12;1;3;12;13;2;3;12;13;3;2;11;14;4;2;11;14;5;2;11;14;6;0;12;12;7;0;12;12;8;0;12;12;9;0;12;12;10;0;12;12;11;0;12;12;12;0;12;12;13;0;12;12;14;4;12;13;ran;2;11;14
402;16;9;10;ch;10;10;1;0;10;10;2;0;10;10;3;0;10;10;4;1;8;11;5;1;8;11;6;1;8;11;7;1;8;11;8;4;9;11;9;4;9;11;10;4;9;11;11;4;9;11;12;0;10;10;13;0;10;10;14;0;10;10;ran;1;8;11
403;16;13;12;ch;11;12;1;2;12;12;2;4;12;13;3;4;12;13;4;4;12;13;5;4;12;13;6;4;12;13;7;4;12;13;8;4;12;13;9;4;12;13;10;4;12;13;11;2;12;12;12;2;12;12;13;2;12;12;14;2;12;12;ran;1;12;13
405;14;11;7;ch;7;7;1;1;6;6;2;1;6;6;3;1;6;6;4;2;6;6;5;2;6;6;6;2;6;6;7;2;6;6;8;2;6;6;9;2;6;6;10;2;6;6;11;2;6;6;12;1;6;6;13;1;6;6;14;1;6;6;ran;4;7;7
