freq;,length;occ;cxs
1;4;751;(S>NP:COMP^1 (S>,:PAR@[P3] (S>VBZ:HD )(,:PAR@[A2] (,*S>,:PAR^1@[P1] (S>,:PAR*@[S0] ) ) ) ) ( ))
1;5;668;(S>S (S>CNJ )(S@[A4] (S>VP:COMP@[P3] (S>MD:HD )(VP:COMP@[A2] (VB:HD@[P1] (work@[P0] (S>VP:COMP^1 )) ) ) ) ) )
1;6;823;(TOP>PUNC^1 (TOP>VP@[P1] (VP@[P0] (VP>PP:COMP )) ) (PUNC@[A4] (.*TOP>PUNC^1@[P3] (TOP>PUNC*@[S2] ) ) ) )
1;8;607;(VP:COMP>VP:COMP^1 (VP:COMP>TO:HD@[P3] (TO:HD@[P2] (to*S>VP:COMP^1@[P1] (S>VP:COMP*@[S0] ) ) ) ) (=== (VP:COMP>PP:COMP^1 (VP:COMP>VB:HD@[P7] (VB:HD@[P6] (be*VP:COMP>VP:COMP^1@[P5] (VP:COMP>VP:COMP*@[S4] ) ) ) ) ( )) ) )
1;5;812;(TOP>S^1 (TOP>UH@[P3] (UH@[P2] (well*START^1@[P1] (START*@[S0] ) ) ) ) (=== (so*TOP>S^1@[P5] (TOP>S*@[S4] ) ) ) )
1;10;88;(TOP>S (S@[P9] (S>NP:COMP^1@[P8] (S>VBP:HD@[P2] (S>NP:SBJ )(VBP:HD@[A1] (like@[P0] (S>VBP:HD^1 )) ) ) (NP:COMP@[A7] (PR@[P6] (DT@[P5] (that*S>NP:COMP^1@[P4] (S>NP:COMP*@[S3] ) ) ) ) ) ) ) )
1;11;102;(TOP>PUNC^1 (TOP>SUGG@[P6] (SUGG@[P5] (SUGG>NP:COMP@[P4] (SUGG>RB )(NP:COMP@[A3] (PP:HD@[P2] (you*SUGG>NP:COMP^1@[P1] (SUGG>NP:COMP*@[S0] ) ) ) ) ) ) ) (PUNC@[A9] (.*TOP>PUNC^1@[P8] (TOP>PUNC*@[S7] ) ) ) )
1;6;517;(NP>NP^1 (NP>CNJ@[P4] (CNJ@[P3] (CC@[P2] (or*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (one*NP>NP^1@[P6] (NP>NP*@[S5] ) ) ) )
1;7;772;(TOP>S (TOP>UH )(S@[A6] (S>VP:COMP@[P5] (S>MD:HD )(VP:COMP@[A4] (VP:COMP>AP:COMP@[P3] (VP:COMP>VB:HD )(AP:COMP@[A2] (JJ:HD@[P1] (okay@[P0] (VP:COMP>AP:COMP^1 )) ) ) ) ) ) ) )
1;5;665;(S>VBP:HD^1 (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (then*START^1@[P1] (START*@[S0] ) ) ) ) ) ( ))
1;11;103;(TOP>UH^1 (TOP>S@[P10] (S@[P9] (S>VBZ:HD^1@[P8] (S>NP:SBJ@[P4] (NP:SBJ@[P3] (PP:HD@[P2] (it*START^1@[P1] (START*@[S0] ) ) ) ) ) (VBZ:HD@[A7] (is*S>VBZ:HD^1@[P6] (S>VBZ:HD*@[S5] ) ) ) ) ) ) ( ))
1;7;3;(S>VP:COMP^1 (S>MD:HD@[P2] (S>NP:SBJ )(MD:HD@[A1] (will@[P0] (S>MD:HD^1 )) ) ) (=== (VP:COMP>VP:COMP^1 (VP:COMP>VB:HD@[P6] (VB:HD@[P5] (be*S>VP:COMP^1@[P4] (S>VP:COMP*@[S3] ) ) ) ) ( )) ) )
1;4;556;(VP>VP:COMP (VP>MD:HD )(VP:COMP@[A3] (VP:COMP>VP:COMP@[P2] (VP:COMP>VB:HD )(VP:COMP@[A1] (VP:COMP>VP:COMP@[P0] (VP:COMP>TO:HD )(VP:COMP )) ) ) ) )
1;15;124;(S>NP:COMP^1 (S>VBP:HD^1@[P8] (S>NP:SBJ@[P4] (NP:SBJ@[P3] (PP:HD@[P2] (I*START^1@[P1] (START*@[S0] ) ) ) ) ) (VBP:HD@[A7] (have*S>VBP:HD^1@[P6] (S>VBP:HD*@[S5] ) ) ) ) (=== (NP:COMP>,:PAR^1 (NP:COMP>DTP:SPR@[P14] (DTP:SPR@[P13] (DT@[P12] (DT@[P11] (a*S>NP:COMP^1@[P10] (S>NP:COMP*@[S9] ) ) ) ) ) ) ( )) ) )
1;6;628;(VP:COMP>PP:ADJ (VP:COMP>VB:HD )(PP:ADJ@[A5] (PP:ADJ>NP:COMP@[P4] (PP:ADJ>IN:HD )(NP:COMP@[A3] (NP:COMP>NN:HD@[P2] (NP:COMP>DTP:SPR )(NN:HD@[A1] (afternoon@[P0] (NP:COMP>NN:HD^1 )) ) ) ) ) ) )
1;18;47;(S (S>NP:COMP^1@[P17] (S>VBP:HD^1@[P12] (S>,:PAR^1@[P8] (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (,:PAR@[A7] (,*S>,:PAR^1@[P6] (S>,:PAR*@[S5] ) ) ) ) (VBP:HD@[A11] (let*S>VBP:HD^1@[P10] (S>VBP:HD*@[S9] ) ) ) ) (NP:COMP@[A16] (PP:HD@[P15] (us*S>NP:COMP^1@[P14] (S>NP:COMP*@[S13] ) ) ) ) ) )
1;5;437;(S>NP:COMP^1 (S>VBP:HD@[P3] (VBP:HD@[P2] (let*TOP>S^1@[P1] (TOP>S*@[S0] ) ) ) ) (=== (me*S>NP:COMP^1@[P5] (S>NP:COMP*@[S4] ) ) ) )
1;3;463;(TOP>AP (TOP>VBP )(AP@[A2] (JJ:HD@[P1] (good@[P0] (TOP>AP^1 )) ) ) )
1;6;788;(S>NP:COMP^1 (S>VBZ:HD^1@[P4] (S>NP:SBJ@[P0] (S>ADVP:ADJ )(NP:SBJ )) (VBZ:HD@[A3] (is*S>VBZ:HD^1@[P2] (S>VBZ:HD*@[S1] ) ) ) ) (=== (the*S>NP:COMP^1@[P6] (S>NP:COMP*@[S5] ) ) ) )
1;19;311;(TOP>S^1 (TOP>UH@[P3] (UH@[P2] (yeah*START^1@[P1] (START*@[S0] ) ) ) ) (=== (S (S>AP:COMP^1@[P18] (S>VBZ:HD^1@[P13] (S>NP:SBJ@[P9] (NP:SBJ@[P8] (PR@[P7] (DT@[P6] (that*TOP>S^1@[P5] (TOP>S*@[S4] ) ) ) ) ) ) (VBZ:HD@[A12] (is*S>VBZ:HD^1@[P11] (S>VBZ:HD*@[S10] ) ) ) ) (AP:COMP@[A17] (JJ:HD@[P16] (fine*S>AP:COMP^1@[P15] (S>AP:COMP*@[S14] ) ) ) ) ) ) ) )
1;16;330;(VP:COMP>PP:ADJ (VP:COMP>AP:COMP )(PP:ADJ@[A15] (PP:ADJ>NP:COMP^1@[P14] (PP:ADJ>IN:HD@[P2] (IN:HD@[P1] (in@[P0] (VP:COMP>PP:ADJ^1 )) ) ) (NP:COMP@[A13] (NP:COMP>NN:HD^1@[P12] (NP:COMP>DTP:SPR@[P8] (DTP:SPR@[P7] (DT@[P6] (DT@[P5] (the*PP:ADJ>NP:COMP^1@[P4] (PP:ADJ>NP:COMP*@[S3] ) ) ) ) ) ) (NN:HD@[A11] (morning*NP:COMP>NN:HD^1@[P10] (NP:COMP>NN:HD*@[S9] ) ) ) ) ) ) ) )
1;7;178;(NP:COMP>PP:ADJ (NP:COMP>NP:HD )(PP:ADJ@[A6] (PP:ADJ>NP:COMP@[P5] (PP:ADJ>IN:HD )(NP:COMP@[A4] (NP:COMP>ONUM:HD@[P3] (NP:COMP>DTP:SPR )(ONUM:HD@[A2] (JJ@[P1] (1capN_dashN_slshN_alfY_digN_sfx:th@[P0] (NP:COMP>ONUM:HD^1 )) ) ) ) ) ) ) )
1;13;675;(S>S^1 (S>CNJ@[P2] (CNJ@[P1] (CC@[P0] (or )) ) ) (=== (S>VP:COMP^1 (S>NP:SBJ^1@[P11] (S>VBP:HD@[P6] (VBP:HD@[P5] (do*S>S^1@[P4] (S>S*@[S3] ) ) ) ) (NP:SBJ@[A10] (PP:HD@[P9] (you*S>NP:SBJ^1@[P8] (S>NP:SBJ*@[S7] ) ) ) ) ) (=== (want*S>VP:COMP^1@[P13] (S>VP:COMP*@[S12] ) ) ) ) ) )
1;16;812;(S>VP:COMP (S>NP:COMP )(VP:COMP@[A15] (VP:COMP>PP:ADJ^1@[P14] (VP:COMP>VB:HD@[P2] (VB:HD@[P1] (think@[P0] (S>VP:COMP^1 )) ) ) (PP:ADJ@[A13] (PP:ADJ>NP:COMP^1@[P12] (PP:ADJ>IN:HD@[P6] (IN:HD@[P5] (about*VP:COMP>PP:ADJ^1@[P4] (VP:COMP>PP:ADJ*@[S3] ) ) ) ) (NP:COMP@[A11] (PR@[P10] (DT@[P9] (that*PP:ADJ>NP:COMP^1@[P8] (PP:ADJ>NP:COMP*@[S7] ) ) ) ) ) ) ) ) ) )
1;19;525;(S>S^1 (S>CNJ@[P4] (CNJ@[P3] (CC@[P2] (and*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (S (S>MD:HD^1@[P18] (S>NP:SBJ^1@[P14] (S>ADVP:ADJ@[P9] (ADVP:ADJ@[P8] (RB:HD@[P7] (then*S>S^1@[P6] (S>S*@[S5] ) ) ) ) ) (NP:SBJ@[A13] (PP:HD@[P12] (I*S>NP:SBJ^1@[P11] (S>NP:SBJ*@[S10] ) ) ) ) ) (MD:HD@[A17] (will*S>MD:HD^1@[P16] (S>MD:HD*@[S15] ) ) ) ) ) ) )
1;23;456;(TOP>PUNC^1 (TOP>S@[P18] (S@[P17] (S>VP:COMP^1@[P16] (S>MD:HD^1@[P5] (S>NP:SBJ@[P1] (NP:SBJ@[P0] (NP:SBJ>PP:ADJ )) ) (MD:HD@[A4] (would*S>MD:HD^1@[P3] (S>MD:HD*@[S2] ) ) ) ) (VP:COMP@[A15] (VP:COMP>AP:COMP^1@[P14] (VP:COMP>VB:HD@[P9] (VB:HD@[P8] (be*S>VP:COMP^1@[P7] (S>VP:COMP*@[S6] ) ) ) ) (AP:COMP@[A13] (JJ:HD@[P12] (fine*VP:COMP>AP:COMP^1@[P11] (VP:COMP>AP:COMP*@[S10] ) ) ) ) ) ) ) ) ) (PUNC@[A21] (.*TOP>PUNC^1@[P20] (TOP>PUNC*@[S19] ) ) ) )
1;9;592;(VP:COMP>VP:COMP (VP:COMP>,:PAR )(VP:COMP@[A8] (VP:COMP>NP:COMP^1@[P7] (VP:COMP>VB:HD@[P1] (VB:HD@[P0] (1capN_dashN_slshN_alfY_digN_sfx:s )) ) (NP:COMP@[A6] (PR@[P5] (DT@[P4] (that*VP:COMP>NP:COMP^1@[P3] (VP:COMP>NP:COMP*@[S2] ) ) ) ) ) ) ) )
1;4;314;(PP:ADJ>NP:COMP^1 (PP:ADJ>IN:HD@[P2] (IN:HD@[P1] (for@[P0] (NP:COMP>PP:ADJ^1 )) ) ) (=== (you*PP:ADJ>NP:COMP^1@[P4] (PP:ADJ>NP:COMP*@[S3] ) ) ) )
1;6;424;(TOP>UH^1 (TOP>ADVP@[P4] (ADVP@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (oh*TOP>UH^1@[P6] (TOP>UH*@[S5] ) ) ) )
1;4;872;(PP:ADJ>NP:COMP^1 (PP:ADJ>IN:HD@[P2] (IN:HD@[P1] (on@[P0] (NP>PP:ADJ^1 )) ) ) (=== (a*PP:ADJ>NP:COMP^1@[P4] (PP:ADJ>NP:COMP*@[S3] ) ) ) )
1;22;294;(S>VP:COMP^1 (S>,:PAR^1@[P12] (S>MD:HD^1@[P8] (S>NP:SBJ@[P4] (NP:SBJ@[P3] (PP:HD@[P2] (I*START^1@[P1] (START*@[S0] ) ) ) ) ) (MD:HD@[A7] (will*S>MD:HD^1@[P6] (S>MD:HD*@[S5] ) ) ) ) (,:PAR@[A11] (,*S>,:PAR^1@[P10] (S>,:PAR*@[S9] ) ) ) ) (=== (VP:COMP>NP:ADJ^1 (VP:COMP>NP:COMP^1@[P21] (VP:COMP>VB:HD@[P16] (VB:HD@[P15] (see*S>VP:COMP^1@[P14] (S>VP:COMP*@[S13] ) ) ) ) (NP:COMP@[A20] (PP:HD@[P19] (you*VP:COMP>NP:COMP^1@[P18] (VP:COMP>NP:COMP*@[S17] ) ) ) ) ) ( )) ) )
1;3;404;(VP>NP:COMP (VP>VB:HD )(NP:COMP@[A2] (PR@[P1] (DT@[P0] (that )) ) ) )
1;21;882;(TOP>PUNC^1 (TOP>S^1@[P16] (TOP>S@[P0] (S )) (S@[A15] (S>VP:COMP^1@[P14] (S>NP:COMP^1@[P9] (S>VBP:HD@[P4] (VBP:HD@[P3] (let*TOP>S^1@[P2] (TOP>S*@[S1] ) ) ) ) (NP:COMP@[A8] (PP:HD@[P7] (us*S>NP:COMP^1@[P6] (S>NP:COMP*@[S5] ) ) ) ) ) (VP:COMP@[A13] (VB:HD@[P12] (see*S>VP:COMP^1@[P11] (S>VP:COMP*@[S10] ) ) ) ) ) ) ) (PUNC@[A19] (.*TOP>PUNC^1@[P18] (TOP>PUNC*@[S17] ) ) ) )
1;19;657;(S>VP:COMP^1 (S>NP:SBJ^1@[P9] (S>MD:HD@[P3] (MD:HD@[P2] (would*START^1@[P1] (START*@[S0] ) ) ) ) (NP:SBJ@[A8] (PR@[P7] (DT@[P6] (that*S>NP:SBJ^1@[P5] (S>NP:SBJ*@[S4] ) ) ) ) ) ) (=== (VP:COMP (VP:COMP>AP:COMP^1@[P18] (VP:COMP>VB:HD@[P13] (VB:HD@[P12] (be*S>VP:COMP^1@[P11] (S>VP:COMP*@[S10] ) ) ) ) (AP:COMP@[A17] (JJ:HD@[P16] (okay*VP:COMP>AP:COMP^1@[P15] (VP:COMP>AP:COMP*@[S14] ) ) ) ) ) ) ) )
1;10;497;(TOP>S (S@[P9] (S>NP:COMP^1@[P8] (S>VBP:HD@[P2] (S>NP:SBJ )(VBP:HD@[A1] (1capN_dashN_slshN_alfY_digN_sfx:NONE@[P0] (S>VBP:HD^1 )) ) ) (NP:COMP@[A7] (PR@[P6] (WP@[P5] (what*S>NP:COMP^1@[P4] (S>NP:COMP*@[S3] ) ) ) ) ) ) ) )
1;4;526;(VP:COMP>ADVP:ADJ^1 (VP:COMP>ADVP:ADJ@[P3] (VP:COMP>NP:COMP )(ADVP:ADJ@[A2] (RBR:HD@[P1] (later@[P0] (VP:COMP>ADVP:ADJ^1 )) ) ) ) ( ))
1;12;17;(VP:COMP>ADVP:ADJ^1 (VP:COMP>PP:ADJ@[P11] (VP:COMP>VB:HD )(PP:ADJ@[A10] (PP:ADJ>NP:COMP^1@[P9] (PP:ADJ>IN:HD@[P3] (IN:HD@[P2] (on*VP:COMP>PP:ADJ^1@[P1] (VP:COMP>PP:ADJ*@[S0] ) ) ) ) (NP:COMP@[A8] (PR@[P7] (DT@[P6] (that*PP:ADJ>NP:COMP^1@[P5] (PP:ADJ>NP:COMP*@[S4] ) ) ) ) ) ) ) ) ( ))
1;10;617;(TOP>S^1 (TOP>NP@[P4] (NP@[P3] (PP:HD@[P2] (I*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (S>VBP:HD^1 (S>NP:SBJ@[P9] (NP:SBJ@[P8] (PP:HD@[P7] (I*TOP>S^1@[P6] (TOP>S*@[S5] ) ) ) ) ) ( )) ) )
1;5;604;(TOP>S (S@[P4] (S>AP:COMP@[P3] (S>VBZ:HD )(AP:COMP@[A2] (JJ:HD@[P1] (1capN_dashN_slshN_alfY_digN_sfx:NONE@[P0] (S>AP:COMP^1 )) ) ) ) ) )
1;9;290;(S>AP:COMP^1 (S>VBZ:HD^1@[P8] (S>NP:SBJ@[P4] (NP:SBJ@[P3] (PP:HD@[P2] (it*TOP>S^1@[P1] (TOP>S*@[S0] ) ) ) ) ) (VBZ:HD@[A7] (is*S>VBZ:HD^1@[P6] (S>VBZ:HD*@[S5] ) ) ) ) ( ))
1;16;238;(S>VP:COMP^1 (S>NP:SBJ^1@[P15] (S>VBZ:HD^1@[P9] (S>ADVP:FLQ@[P5] (ADVP:FLQ@[P4] (PR@[P3] (WRB@[P2] (how*START^1@[P1] (START*@[S0] ) ) ) ) ) ) (VBZ:HD@[A8] (is*S>VBZ:HD^1@[P7] (S>VBZ:HD*@[S6] ) ) ) ) (NP:SBJ@[A14] (PR@[P13] (DT@[P12] (that*S>NP:SBJ^1@[P11] (S>NP:SBJ*@[S10] ) ) ) ) ) ) ( ))
1;9;747;(PP:ADJ>NP:COMP^1 (PP:ADJ>IN:HD@[P2] (IN:HD@[P1] (in@[P0] (S>PP:ADJ^1 )) ) ) (=== (NP:COMP>NNS:HD^1 (NP:COMP>DTP:SPR@[P8] (DTP:SPR@[P7] (DT@[P6] (DT@[P5] (the*PP:ADJ>NP:COMP^1@[P4] (PP:ADJ>NP:COMP*@[S3] ) ) ) ) ) ) ( )) ) )
1;33;23;(TOP>PUNC^1 (TOP>S^1@[P28] (TOP>UH@[P0] (UH )) (S@[A27] (S>PP:ADJ^1@[P26] (S>AP:COMP^1@[P15] (S>VBZ:HD^1@[P10] (S>NP:SBJ@[P6] (NP:SBJ@[P5] (PR@[P4] (DT@[P3] (that*TOP>S^1@[P2] (TOP>S*@[S1] ) ) ) ) ) ) (VBZ:HD@[A9] (is*S>VBZ:HD^1@[P8] (S>VBZ:HD*@[S7] ) ) ) ) (AP:COMP@[A14] (JJ:HD@[P13] (good*S>AP:COMP^1@[P12] (S>AP:COMP*@[S11] ) ) ) ) ) (PP:ADJ@[A25] (PP:ADJ>NP:COMP^1@[P24] (PP:ADJ>IN:HD@[P19] (IN:HD@[P18] (for*S>PP:ADJ^1@[P17] (S>PP:ADJ*@[S16] ) ) ) ) (NP:COMP@[A23] (PP:HD@[P22] (me*PP:ADJ>NP:COMP^1@[P21] (PP:ADJ>NP:COMP*@[S20] ) ) ) ) ) ) ) ) ) (PUNC@[A31] (.*TOP>PUNC^1@[P30] (TOP>PUNC*@[S29] ) ) ) )
1;9;139;(SUGG>NP:COMP^1 (SUGG>RB^1@[P7] (SUGG>WRB@[P3] (WRB@[P2] (how*START^1@[P1] (START*@[S0] ) ) ) ) (RB@[A6] (about*SUGG>RB^1@[P5] (SUGG>RB*@[S4] ) ) ) ) (=== (the*SUGG>NP:COMP^1@[P9] (SUGG>NP:COMP*@[S8] ) ) ) )
1;6;184;(TOP>PUNC^1 (TOP>S@[P1] (TOP>S )(S@[A0] (S>ADVP:ADJ ) ) ) (PUNC@[A4] (.*TOP>PUNC^1@[P3] (TOP>PUNC*@[S2] ) ) ) )
1;14;734;(TOP>PUNC^1 (TOP>S@[P9] (TOP>S )(S@[A8] (S>AP:COMP^1@[P7] (S>VBZ:HD@[P2] (S>NP:SBJ )(VBZ:HD@[A1] (sounds@[P0] (S>VBZ:HD^1 )) ) ) (AP:COMP@[A6] (JJ:HD@[P5] (good*S>AP:COMP^1@[P4] (S>AP:COMP*@[S3] ) ) ) ) ) ) ) (PUNC@[A12] (.*TOP>PUNC^1@[P11] (TOP>PUNC*@[S10] ) ) ) )
1;5;244;(TOP>S^1 (TOP>UH@[P3] (UH@[P2] (well*START^1@[P1] (START*@[S0] ) ) ) ) (=== (what*TOP>S^1@[P5] (TOP>S*@[S4] ) ) ) )
1;14;472;(S>S^1 (S>CNJ@[P4] (CNJ@[P3] (CC@[P2] (and*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (S>NP:COMP^1 (S>VBZ:HD^1@[P13] (S>NP:SBJ@[P9] (NP:SBJ@[P8] (EX:HD@[P7] (there*S>S^1@[P6] (S>S*@[S5] ) ) ) ) ) (VBZ:HD@[A12] (is*S>VBZ:HD^1@[P11] (S>VBZ:HD*@[S10] ) ) ) ) ( )) ) )
1;3;556;(VP>MD:HD (MD:HD@[P2] (would*START^1@[P1] (START*@[S0] ) ) ) )
1;9;865;(S>VP:COMP^1 (S>MD:HD@[P3] (S>NP:SBJ )(MD:HD@[A2] (can*S>MD:HD^1@[P1] (S>MD:HD*@[S0] ) ) ) ) (=== (VP:COMP>NP:ADJ^1 (VP:COMP>VB:HD@[P7] (VB:HD@[P6] (leave*S>VP:COMP^1@[P5] (S>VP:COMP*@[S4] ) ) ) ) (=== (Thursday*VP:COMP>NP:ADJ^1@[P9] (VP:COMP>NP:ADJ*@[S8] ) ) ) ) ) )
1;5;435;(TOP>UH^1 (TOP>CNJ@[P4] (CNJ@[P3] (CC@[P2] (or*START^1@[P1] (START*@[S0] ) ) ) ) ) ( ))
1;25;29;(TOP>PUNC^1 (TOP>S@[P20] (S@[P19] (S>VP:COMP^1@[P18] (S>MD:HD@[P2] (S>NP:SBJ )(MD:HD@[A1] (will@[P0] (S>MD:HD^1 )) ) ) (VP:COMP@[A17] (VP:COMP>ADVP:ADJ^1@[P16] (VP:COMP>AP:COMP^1@[P11] (VP:COMP>VB:HD@[P6] (VB:HD@[P5] (be*S>VP:COMP^1@[P4] (S>VP:COMP*@[S3] ) ) ) ) (AP:COMP@[A10] (JJ:HD@[P9] (good*VP:COMP>AP:COMP^1@[P8] (VP:COMP>AP:COMP*@[S7] ) ) ) ) ) (ADVP:ADJ@[A15] (RB:HD@[P14] (then*VP:COMP>ADVP:ADJ^1@[P13] (VP:COMP>ADVP:ADJ*@[S12] ) ) ) ) ) ) ) ) ) (PUNC@[A23] (.*TOP>PUNC^1@[P22] (TOP>PUNC*@[S21] ) ) ) )
1;10;452;(S>VP:COMP (S>,:PAR )(VP:COMP@[A9] (VP:COMP>NP:COMP^1@[P8] (VP:COMP>VB:HD@[P2] (VB:HD@[P1] (do@[P0] (S>VP:COMP^1 )) ) ) (NP:COMP@[A7] (PR@[P6] (DT@[P5] (that*VP:COMP>NP:COMP^1@[P4] (VP:COMP>NP:COMP*@[S3] ) ) ) ) ) ) ) )
1;5;733;(PP>NP:COMP^1 (PP>IN:HD@[P3] (IN:HD@[P2] (in*START^1@[P1] (START*@[S0] ) ) ) ) (=== (two*PP>NP:COMP^1@[P5] (PP>NP:COMP*@[S4] ) ) ) )
1;6;21;(TOP>NP^1 (TOP>NP@[P4] (NP@[P3] (PP:HD@[P2] (I*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (it*TOP>NP^1@[P6] (TOP>NP*@[S5] ) ) ) )
1;5;30;(TOP>PUNC^1 (TOP>NP@[P4] (NP@[P3] (PP:HD@[P2] (we*START^1@[P1] (START*@[S0] ) ) ) ) ) ( ))
1;6;202;(TOP>S^1 (TOP>NP@[P4] (NP@[P3] (PP:HD@[P2] (it*START^1@[P1] (START*@[S0] ) ) ) ) ) (=== (is*TOP>S^1@[P6] (TOP>S*@[S5] ) ) ) )
1;8;95;(S>VP:COMP^1 (S>MD:HD@[P3] (S>NP:SBJ )(MD:HD@[A2] (can*S>MD:HD^1@[P1] (S>MD:HD*@[S0] ) ) ) ) (=== (VP:COMP>ADVP:ADJ^1 (VP:COMP>VB:HD@[P7] (VB:HD@[P6] (1capN_dashN_slshN_alfY_digN_sfx:NONE*S>VP:COMP^1@[P5] (S>VP:COMP*@[S4] ) ) ) ) ( )) ) )
1;10;698;(S>NP:SBJ^1 (S>VBP:HD^1@[P8] (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (VBP:HD@[A7] (do*S>VBP:HD^1@[P6] (S>VBP:HD*@[S5] ) ) ) ) (=== (you*S>NP:SBJ^1@[P10] (S>NP:SBJ*@[S9] ) ) ) )
1;19;96;(S (S>AP:COMP^1@[P18] (S>,:PAR^1@[P13] (S>VBZ:HD^1@[P9] (S>NP:SBJ@[P5] (NP:SBJ@[P4] (PR@[P3] (DT@[P2] (that*START^1@[P1] (START*@[S0] ) ) ) ) ) ) (VBZ:HD@[A8] (is*S>VBZ:HD^1@[P7] (S>VBZ:HD*@[S6] ) ) ) ) (,:PAR@[A12] (,*S>,:PAR^1@[P11] (S>,:PAR*@[S10] ) ) ) ) (AP:COMP@[A17] (JJ:HD@[P16] (fine*S>AP:COMP^1@[P15] (S>AP:COMP*@[S14] ) ) ) ) ) )
1;14;868;(S>VP:COMP^1 (S>NP:SBJ^1@[P8] (S>VBP:HD@[P3] (VBP:HD@[P2] (do*START^1@[P1] (START*@[S0] ) ) ) ) (NP:SBJ@[A7] (PP:HD@[P6] (you*S>NP:SBJ^1@[P5] (S>NP:SBJ*@[S4] ) ) ) ) ) (=== (VP:COMP>NP:COMP^1 (VP:COMP>VB:HD@[P12] (VB:HD@[P11] (have*S>VP:COMP^1@[P10] (S>VP:COMP*@[S9] ) ) ) ) (=== (anything*VP:COMP>NP:COMP^1@[P14] (VP:COMP>NP:COMP*@[S13] ) ) ) ) ) )
1;14;389;(S>VP:COMP^1 (S>MD:HD^1@[P9] (S>ADVP:SBQ@[P5] (ADVP:SBQ@[P4] (PR@[P3] (WRB@[P2] (when*START^1@[P1] (START*@[S0] ) ) ) ) ) ) (MD:HD@[A8] (would*S>MD:HD^1@[P7] (S>MD:HD*@[S6] ) ) ) ) (=== (VP:COMP>NP:COMP^1 (VP:COMP>VB:HD@[P13] (VB:HD@[P12] (be*S>VP:COMP^1@[P11] (S>VP:COMP*@[S10] ) ) ) ) ( )) ) )
1;9;753;(TOP>PUNC^1 (TOP>ADVP^1@[P8] (TOP>UH@[P3] (UH@[P2] (okay*START^1@[P1] (START*@[S0] ) ) ) ) (ADVP@[A7] (RB:HD@[P6] (so*TOP>ADVP^1@[P5] (TOP>ADVP*@[S4] ) ) ) ) ) ( ))
1;9;604;(S>UH:PAR^1 (S>,:PAR^1@[P8] (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (,:PAR@[A7] (,*S>,:PAR^1@[P6] (S>,:PAR*@[S5] ) ) ) ) ( ))
1;15;258;(S>MD:HD^1 (S>NP:SBJ^1@[P13] (S>,:PAR^1@[P8] (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (,:PAR@[A7] (,*S>,:PAR^1@[P6] (S>,:PAR*@[S5] ) ) ) ) (NP:SBJ@[A12] (PP:HD@[P11] (it*S>NP:SBJ^1@[P10] (S>NP:SBJ*@[S9] ) ) ) ) ) (=== (will*S>MD:HD^1@[P15] (S>MD:HD*@[S14] ) ) ) )
1;11;192;(S>MD:HD^1 (S>NP:SBJ^1@[P9] (S>ADVP:ADJ@[P4] (ADVP:ADJ@[P3] (RB:HD@[P2] (so*START^1@[P1] (START*@[S0] ) ) ) ) ) (NP:SBJ@[A8] (PP:HD@[P7] (we*S>NP:SBJ^1@[P6] (S>NP:SBJ*@[S5] ) ) ) ) ) (=== (would*S>MD:HD^1@[P11] (S>MD:HD*@[S10] ) ) ) )
1;10;704;(TOP>PUNC^1 (TOP>S@[P5] (S@[P4] (S>VP:COMP@[P3] (S>NP:COMP )(VP:COMP@[A2] (VB:HD@[P1] (see@[P0] (S>VP:COMP^1 )) ) ) ) ) ) (PUNC@[A8] (.*TOP>PUNC^1@[P7] (TOP>PUNC*@[S6] ) ) ) )
1;11;602;(TOP>DTP^1 (TOP>S@[P10] (S@[P9] (S>VBZ:HD^1@[P8] (S>NP:SBJ@[P4] (NP:SBJ@[P3] (PP:HD@[P2] (it*START^1@[P1] (START*@[S0] ) ) ) ) ) (VBZ:HD@[A7] (is*S>VBZ:HD^1@[P6] (S>VBZ:HD*@[S5] ) ) ) ) ) ) ( ))
