TRAIN_CORPUS=./input/wsj-02-21clean_short.txt
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
1578 sentences were reranked out of 1700

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=true
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

his;LP;LR;F;#matchCst;#cstComp;#cstGiven
0;0.8817569159715349;0.9029486993870952;0.8922269909394374;18710;20721;21219
1;0.897309015504972;0.9015578389128273;0.8994284094666729;19040;21119;21219
2;0.8991941184787219;0.9015309015309015;0.9003609937946818;19080;21164;21219
3;0.8996182666478156;0.9009344912214461;0.9002758978470536;19089;21188;21219
4;0.9017861350676281;0.9018286360637194;0.9018073850649198;19135;21218;21219
5;0.9016447523445968;0.9013474041270141;0.9014960537165744;19132;21226;21219
6;0.9015033696215656;0.9014608859566446;0.9014821272885789;19129;21220;21219
7;0.9013148593241905;0.900805426027978;0.901060070671378;19125;21231;21219
8;0.9005608181346906;0.9008155376420119;0.9006881598793363;19109;21213;21219
9;0.8997125217965032;0.9000942951438001;0.8999033679794481;19091;21210;21219
10;0.8991469909043781;0.9003350478976924;0.8997406272105636;19079;21191;21219
11;0.8987228427352845;0.899952807928268;0.8993374047961518;19070;21190;21219
12;0.8982515669918469;0.8997356495468278;0.8989929957786006;19060;21184;21219
13;0.8983458221405344;0.8998300604229608;0.8990873287267409;19062;21184;21219
14;0.8977331636740657;0.8994711493058835;0.8986013161308584;19049;21178;21219
Ch;0.9064988925020029;0.9013167143057964;0.9039003759398496;19235;21341;21219
Ran;0.8892030727178473;0.8849076071663071;0.8870501398650713;18868;21322;21219
